Sentence Output
"What does `` antidisestablishmentarianism '' mean ?" DESC:def
"Name one of the major gods of Hinduism ." HUM:ind
"What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?" DESC:desc
"What is the longest river in the United States ?" LOC:other
"How can SQL queries be improved ?" DESC:manner
"What is paracetamol ?" DESC:def
"When did Theo Rousseau paint the `` Forest of Fontaine '' ?" NUM:date
"Name the fast food chain with the golden arches ." HUM:gr
"Why was Washington , DC originally called District of Columbia ?" DESC:reason
"Who is the Greek God of the Sea ?" HUM:ind
"What does Aaron mean ?" DESC:def
"What was the distinguishing mark on the `` Little Rascals '' dog ?" ENTY:symbol
"What is the difference between optical and digital video ?" DESC:desc
"What 's the term for an organism that lives on or in another ?" ENTY:termeq
"What is thermal equilibrium ?" DESC:def
"Where is Mile High Stadium ?" LOC:other
"What state on the Gulf of Mexico has its lowest point five feet below sea level ?" LOC:state
"What are the largest libraries in the US ?" LOC:other
"What snack food has ridges ?" ENTY:food
"Who was the president of Vichy France ?" HUM:ind
"Where is the Bulls basketball team based ?" LOC:other
"What musical instrument did Sherlock Holmes play ?" ENTY:instru
"What book is the follow-up to Future Shock ?" ENTY:cremat
"What are names of two old men who appear in the serial tv Muppets Show ?" HUM:ind
"What English word contains the most letters ?" ENTY:word
"What nutrients are for healthy bones and teeth ?" ENTY:food
"What was John F. Kennedy 's 1960 campaign song ?" ENTY:cremat
"What percentage of the world 's plant and animal species can be found in the Amazon forests ?" NUM:perc
"What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?" HUM:ind
"What is a fear of childbirth ?" ENTY:dismed
"How many pairs of wings does a tsetse fly have ?" NUM:count
"How many feet are there in a fathom ?" NUM:count
"Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?" LOC:other
"What food can I use to catch a possum ?" ENTY:food
"What kind of animals were in the Paleozoic era ?" ENTY:animal
"When did the royal wedding of Prince Andrew and Fergie take place ?" NUM:date
"At what age did Rossini stop writing opera ?" NUM:period
"What was the first English play written exclusively for children ?" ENTY:cremat
"Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?" HUM:ind
"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?" HUM:ind
"What city has a newspaper called The Plain Dealer ?" LOC:city
"What is the origin of the candy cane at Christmas ?" DESC:desc
"What buxom blonde appeared on the cover of more than 5 magazines ?" HUM:ind
"What is an arab strap ?" DESC:def
"What animal migrates the farthest ?" ENTY:animal
"Why should cigarette smoking be banned ?" DESC:reason
"What did Englishman John Hawkins begin selling to New World colonists in 1562 ?" ENTY:other
"What 's the supreme policy-making bureau of the Soviet Communist Party ?" HUM:gr
"How far can a human eye see ?" NUM:dist
"What 's the name of a hotel in Indianapolis ?" LOC:other
"How many grooves are on a dime ?" NUM:count
"What knighted actor narrates TV 's The World at War ?" HUM:ind
"What are the numbers that fit into Fermont 's last theorem ?" NUM:other
"What bordering country is due north of Costa Rica ?" LOC:country
"What is dextropropoxyphen napsylate ?" DESC:def
"In Beetle Bailey , can you name Sarge 's dog ?" ENTY:animal
"What 's the second-biggest-selling magazine in America ?" ENTY:cremat
"Who is Malaysia 's 43rd prime minister ?" HUM:ind
"How long was Mao 's 1930s Long March ?" NUM:dist
"How many colleges are in Wyoming ?" NUM:count
"What is Colin Powell best known for ?" DESC:reason
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?" HUM:ind
"What does Robin Williams do ?" HUM:title
"Who was the accused in The Trial of the Century , which opened Janurary 1 , 1935 ?" HUM:ind
"What were the first three cities to have a population of more than a million ?" LOC:city
"What is the origin of U.S. Army sergeant 's stripes ?" DESC:desc
"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?" HUM:ind
"Name a country that is developing a magnetic levitation railway system ?" LOC:country
"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?" ENTY:other
"What is the population of the United States ?" NUM:other
"Why do they call a hamburger a hamburger when there is no ham ?" DESC:reason
"What is `` the only cigarette made with no leftovers '' ?" DESC:desc
"What was the infamous pseudonym of Peter Sutcliffe ?" HUM:ind
"Where is Procter & Gamble based in the U.S. ?" LOC:other
"How do you fix squeaky floors ?" DESC:manner
"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?" HUM:ind
"What people make up half the Soviet Union 's population ?" HUM:gr
"What country 's royal house is Bourbon-Parma ?" LOC:country
"What are Maid-Rites ?" DESC:def
"What British TV series featured Emma Peel ?" ENTY:cremat
"What are the Nordic nations ?" LOC:country
"What is the plural of gulf ?" ENTY:word
"How many electoral votes does it take to win presidency ?" NUM:count
"How does the speed the magnet spins in a generator affect the output of the generator ?" DESC:manner
"How many fiddlers did Old King Cole have ?" NUM:count
"What is difference between a poster and a print ?" DESC:desc
"What city gained renown for its pea-soup fogs ?" LOC:city
"What does the name Kelly mean ?" DESC:def
"What country is the origin of the band the Creeps ?" LOC:country
"How long should a person wash their hands before they are clean ?" NUM:period
"What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?" HUM:ind
"How many colonies were involved in the American Revolution ?" NUM:count
"What holidays are celebrated in Ireland ?" ENTY:event
"In what year did Hitler gain power of Germany ?" NUM:date
"How many feet long is a baseball pitcher 's rubber ?" NUM:count
"What father and son won the Medal of Honor ?" HUM:ind
"Who was the first animal into space ?" ENTY:animal
"What 's another name for aspartame ?" ENTY:termeq
"What causes `` rolling thunder '' ?" DESC:reason
"Define cosmology ." DESC:def
"When did the Jurassic Period end ?" NUM:date
"Where can I read about Chiang Kai-shek ?" LOC:other
"What four-legged creature did a Cornell University study say would make man 's best companion in space ?" ENTY:animal
"How is digital audio used ?" DESC:manner
"What is the 401 , K , plan ?" DESC:def
"What is La Nina ?" DESC:def
"How is carbon dioxide removed from natural gas ?" DESC:manner
"What is the Milky Way ?" DESC:def
"When did Spain and Korea start ambassadorial relations ?" NUM:date
"When did the Chernobyl nuclear accident occur ?" NUM:date
"When was the first steel mill in the United States built ?" NUM:date
"What is the term for a group of geese ?" ENTY:termeq
"What is Bella Abzug 's sartorial trademark ?" ENTY:other
"What are Maid-Rites ?" DESC:def
"What is the name of the Family Circus 's dog ?" ENTY:animal
"What is a fear of sleep ?" ENTY:dismed
"Where are the busiest ports in the world ?" LOC:other
"Who was the second person ever to wear Iron Man 's armor ?" HUM:ind
"What makes a tornado turn ?" DESC:reason
"What is typhoid fever ?" DESC:def
"What 's nature 's purpose for tornadoes ?" DESC:reason
"Who did Dita Beard work for ?" HUM:ind
"When did Thatcher become prime minister ?" NUM:date
"Where is Mozambique located ?" LOC:other
"What substance did Joseph Priestley name for its ability to erase pencil marks ?" ENTY:substance
"Who founded the Unification Church ?" HUM:ind
"In the song `` Yankee Doodle , '' why did Yankee Doodle stick a feather in his cap and call it macaroni ?" DESC:reason
"What month , date , and year did Charles I die ?" NUM:date
"What does hazmat stand for ?" DESC:def
"Who was the first elected mayor of Washington , D.C. ?" HUM:ind
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?" ENTY:techmeth
"What mountain range marks the border of France and Spain ?" LOC:mount
"What island is home to statues called Mauis ?" LOC:other
"What is it like to experience a near death episode ?" DESC:desc
"Who died 1 feet from where John F. Kennedy did ?" HUM:ind
"What 's the most common surname in America ?" HUM:ind
"In what year did Thatcher become prime minister ?" NUM:date
"What are the four most widely-used languages in North America ?" ENTY:lang
"What 's a short ton ?" DESC:def
"What is `` the airline built for professional travelers '' ?" HUM:gr
"What did Benny Carter play ?" ENTY:other
"What is one of the languages spoken by the Sioux called ?" ENTY:lang
"Which language has the most words ?" ENTY:lang
"What golfing accessory was patented by George Grant on December 12" ENTY:techmeth
"What is ouzo ?" DESC:def
"Where is the Orange Bowl ?" LOC:other
"Where can I get a complete listing of showtimes in my area ?" LOC:other
"How many people live in Tokyo ?" NUM:count
"What happened to Answers.com ?" DESC:desc
"What is the formula to calculate pi ?" ENTY:techmeth
"What is the difference between microprocessors & microcontrollers ?" DESC:desc
"What is the definition of spamming ?" DESC:def
"What war was fought by the Spanish as far as the Philippines ?" ENTY:event
"What prison is found in Ossining , New York ?" LOC:other
"How many wives did Brigham Young have ?" NUM:count
"What food did Marco Polo introduce into Italy from the court of Kubla Khan ?" ENTY:food
"What was Paul Bunyan 's ox 's name ?" ENTY:animal
"What fruit-topped actress was known as The Brazilian Bombshell ?" HUM:ind
"Who invented the horoscope ?" HUM:ind
"What is the average cost for four years of medical school ?" NUM:money
"What is SAP ?" ABBR:exp
"What kind of sport is often associated with hooligans ?" ENTY:sport
"What is the Home Rule Act ?" DESC:def
"Where is Los Vegas ?" LOC:other
"McCarren Airport is located in what city ?" LOC:city
"On what continent is Mozambique ?" LOC:other
"What 's a male witch called ?" ENTY:termeq
"Why are there Braille things on the ATM machines that people drive through ?" DESC:reason
"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?" HUM:ind
"At Christmas time , what is the traditional thing to do under the mistletoe ?" ENTY:other
"What was Einstein 's IQ ?" NUM:other
"Who is the fastest guitarist ?" HUM:ind
"What does the double-O indicate in 007 ?" DESC:def
"What is the correct way to use `` may '' vs. `` might '' ?" ENTY:techmeth
"What is the best selling computer model ever ?" ENTY:product
"What is the most populated city in the world ?" LOC:city
"What is Spumante ?" DESC:def
"What 's the symbol for the zodiacal sign Gemini ?" ENTY:symbol
"What tools do you use to crewel ?" ENTY:other
"What flag flies over Wake Island ?" ENTY:other
"What National League baseball team employed 72 third baseemen in its first 2 seasons ?" HUM:gr
"What building appropriately enough is depicted on the back of the 1-dollar bill ?" LOC:other
"What film featured a snarly character named Kid Shelleen ?" ENTY:cremat
"What is the biblical meaning of ` stones ' ?" DESC:def
"What is a biologist ?" DESC:def
"What is the history of Buffalo chicken wings ?" DESC:desc
"What does NN O `` mean when used as a prefix in Irish surnames ?" ABBR:exp
"What number is at 12 o 'clock on a dartboard ?" NUM:other
"How old is Bernadette Peters ?" NUM:period
"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?" HUM:ind
"What film marked Robert Redford 's directorial debut ?" ENTY:cremat
"What is a wart ?" DESC:def
"What sea surrounds the Cayman Islands ?" LOC:other
"How many miles are there between Tel Aviv , Israel and Memphis , Tennessee ?" NUM:count
"Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?" LOC:other
"What killed Bob Marley ?" ENTY:other
"What is the name of Miss India 1994 ?" HUM:ind
"What is the `` 7-minute cigarette '' ?" DESC:def
"What was the favorite sport of Tom Wolfe 's The Pump House Gang ?" ENTY:sport
"What is the average life expectancy of a male in Ireland in 1996 ?" NUM:period
"Who are Woody Woodpecker 's niece and nephew ?" HUM:ind
"What country was General Douglas McArthur in when he was recalled by President Truman ?" LOC:country
"What is spaceball played on ?" DESC:def
"Why was Henry Ford 's first automobile calleda Model T & his second type of automobile , introduced in 1928 , called a Model A ?" DESC:reason
"What state is the Filenes store located in ?" LOC:state
"How many verses are in the Bible ?" NUM:count
"What former president 's daughter has written a book titled Murder in the White House ?" HUM:ind
"What 1965 film had Jack Lemmon portraying a cartoonist ?" ENTY:cremat
"Shea and Gould had an office in Los Angeles for how long before closing it ?" NUM:period
"How do you dunk ?" DESC:manner
"What video format was an alternative to VHS ?" ENTY:other
"What is the richest state in the U.S. ?" LOC:state
"What household products are there for adult acne ?" ENTY:product
"What date did man first land on the moon ?" NUM:date
"Which Ventura County police department seized the largest cocaine shipment in it 's history ?" HUM:gr
"What city was Martin Luther King Jr. assassinated in ?" LOC:city
"What is Ray Bradbury 's illustrated man illustrated with ?" ENTY:other
"How close a cousin was Franklin D. to Theodore Roosevelt ?" DESC:manner
"Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?" HUM:ind
"What did Lenny Bruce say that got him arrested ?" DESC:desc
"What river flows past the Temple of Karnak ?" LOC:other
"What were millions of kids wearing on their heads in 1955 ?" ENTY:other
"What is a research expedition in mountain climbing ?" ENTY:sport
"How can you become an FBI agent ?" DESC:manner
"Who is the sexiest women in the world ?" HUM:ind
"How loud is thunder ?" NUM:other
"Who was Confucius ?" HUM:desc
"Who invented basketball ?" HUM:ind
"What is an auto-commentary ?" DESC:def
"What count did Alexandre Dumas write about ?" HUM:ind
"What is the leading pecan and peanut growing state ?" LOC:state
"What is the weakest bone in the body ?" ENTY:body
"How does blood clot ?" DESC:manner
"How much will the California be in the year 2000 ?" NUM:count
"How tall is the replica of the Matterhorn at Disneyland ?" NUM:dist
"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?" HUM:ind
"Who directed the first Woody Woodpecker cartoon ?" HUM:ind
"What countries have the largest armed forces in the world ?" LOC:country
"What is the origin of the word , magic ?" DESC:desc
"What was the largest city in the world to declare martial law in 1989 ?" LOC:city
"What species is a colt ?" ENTY:animal
"What city is the setting for Puccini 's opera La Boheme ?" LOC:city
"What detective lives on Punchbowl Hill and has 11 children ?" HUM:ind
"When were fish first believed to be found on earth ?" NUM:date
"What are faults in the earth 's crust ?" DESC:def
"How is the new Ford Econoline van F25 V1 engine ?" DESC:manner
"What is the longest word in the English language ?" ENTY:word
"What are the most common causes of death in the U.S. ?" DESC:reason
"How many syllables are there in a line of hendecasyllabic poetry ?" NUM:count
"What is a fear of glass ?" ENTY:dismed
"What high school does Archie attend ?" HUM:gr
"What was the tragedy that struck the city of Dogtown in 1899 ?" ENTY:event
"What will the increase be in the California gas tax by 2000 ?" NUM:money
"What was the food of the Greek gods called ?" ENTY:food
"What does an emperor do ?" DESC:desc
"What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?" HUM:ind
"Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?" LOC:other
"What do Japanese school uniforms look like ?" DESC:desc
"Where do chihuahuas come from ?" DESC:desc
"What caused the death of Bob Marley ?" DESC:reason
"Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer , go to school ?" LOC:other
"What is a fear of going to bed ?" ENTY:dismed
"What is commonly considered the fifth sense ?" DESC:def
"What city contains the district of Hell 's Kitchen ?" LOC:city
"Approximately how much does a teaspoon of matter weigh in a black hole ?" NUM:weight
"Why doesn 't www.answers.com have any answers to my questions ?" DESC:reason
"What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?" HUM:ind
"Who won the 1968 California Democratic primary ?" HUM:ind
"Why is Chicago named Chicago ?" DESC:reason
"How hot should the oven be when baking Peachy Oat Muffins ?" NUM:temp
"What is hebephrenia ?" DESC:def
"What fruit does the ficus produce ?" ENTY:food
"What botanical marvel did Nebuchadnezzar build ?" LOC:other
"What countries does the Mont Blanc Tunnel join ?" LOC:country
"What determines the value of the pearl ?" ENTY:other
"Rotary engines were manufactured by which company ?" HUM:gr
"Why can 't women serve in the Navy on board submarines ?" DESC:reason
"How many hours of work does it take a typist to complete a 100-page screenplay ?" NUM:count
"Where are zebras most likely found ?" LOC:other
"How many Beatles ' records went #1 ?" NUM:count
"What is the smallest country in Africa ?" LOC:country
"What is Sinn Fein ?" DESC:def
"How can I gain access to a spy satelite ?" DESC:manner
"Which mosquito 's bite draws blood , DT NN CC DT NN ." ENTY:animal
"What canal does the Thatcher Ferry Bridge span ?" LOC:other
"Who directed The Wild Bunch ?" HUM:ind
"President Bush compared Saddam Hussein to whom ?" HUM:ind
"Who invented the stock ticker in 1870 ?" HUM:ind
"What are the 7 articles of the constitution ?" ENTY:other
"How can I easily remove red wine stains from t-shirts ?" DESC:manner
"What sport is Chris Jogis a top player of ?" ENTY:sport
"What was football star Elroy Hirsch 's nickname ?" HUM:ind
"What happens to used motor oil ?" DESC:desc
"What was the reason for the partition of the Anglican and Vatican churches ?" DESC:reason
"What was the name of the orca that died of a fungal infection ?" ENTY:animal
"What is the history of skateboarding ?" DESC:desc
"Who betrayed Norway to the Nazis ?" HUM:ind
"What spice do chefs pay the most for ?" ENTY:food
"What six-foot temperance advocate wielded her hatchet on saloons ?" HUM:ind
"What kind of creatures are the Canary Islands named for ?" ENTY:animal
"What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?" ENTY:veh
"Who is Terrence Malick ?" HUM:desc
"How many of them are in sub-Saharan Africa ?" NUM:count
"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?" HUM:ind
"How can I find a list of celebrities ' real names ?" DESC:manner
"What does the word affiant mean ?" DESC:def
"Who is the head of the World Bank ?" HUM:ind
"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?" HUM:ind
"What was the first minimum wage ?" NUM:money
"What is the only modern language that capitalizes its singular first-person pronoun ?" ENTY:lang
"What is a fear of fur ?" ENTY:dismed
"What type of hunting are retrievers used for ?" ENTY:other
"What is the history of the hairdryer ?" DESC:desc
"Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?" HUM:ind
"How many letters appear with the numbers 2 to 9 on a telephone dial ?" NUM:count
"How much did Mercury spend on advertising in 1993 ?" NUM:money
"What is the name of a Salt Lake City newspaper ?" ENTY:cremat
"What U.S. state are the Finger Lakes in ?" LOC:state
"Name a film in which Jude Law acted ." ENTY:cremat
"What are pushed and coupled in hump yards ?" ENTY:other
"Who declared : `` I am down on whores and I shan 't stop ripping them '' ?" HUM:ind
"Who were the five Marx brothers ?" HUM:ind
"Who was Red Grange ?" HUM:desc
"What color tennis balls are used at Wimbledon ?" ENTY:color
"What is the collective noun for geese ?" ENTY:word
"What do players try to do when the music stops in a game of musical chairs ?" DESC:desc
"Who 's the only president buried in Washington" HUM:ind
"How much calcium should an adult female have daily ?" NUM:count
"What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?" ENTY:termeq
"What is Dr. Ruth 's last name ?" HUM:ind
"What are some science fair projects for 8th graders ?" ENTY:event
"What is the exchange rate between England and the U.S. ?" NUM:money
"Name a civil war battlefield ." LOC:other
"Who are cartoondom 's Super Six ?" HUM:gr
"How many astronauts have been on the moon ?" NUM:count
"What percent liked Thatcher after she had been in power for a decade ?" NUM:perc
"What are the side effects of mevacor ?" DESC:desc
"How many feet more than 2 is the average height of the Great Wall of China ?" NUM:count
"What is the origin of the word `` sideburns '' ?" DESC:desc
"What 's the first day of the week ?" NUM:date
"Where is Tornado Alley ?" LOC:other
"What was lost and regained by poet John Milton ?" ENTY:other
"How many years of schooling after highschool does it take to become a neurosurgeon ?" NUM:count
"How many different kinds of ice cream are there ?" NUM:count
"Where is one 's corpus callosum found ?" LOC:other
"When do MORMONS believe Christ was born ?" NUM:date
"What is the name of the company that manufactures the `` American Girl '' doll collection ?" HUM:gr
"What is the difference between Neoclassical art and Romanticism art ?" DESC:desc
"What is a ball that hits the foul pole called ?" ENTY:termeq
"How did U.S.A become involved in the Barbary Wars" DESC:manner
"What war saw battles at Parrot 's Beak and Black Virgin ?" ENTY:event
"What mythical figure carries an hourglass and a scythe ?" HUM:ind
"What is the `` coppertop '' battery ?" DESC:def
"How does salt melt ice and snow ?" DESC:manner
"What colors make up a rainbow ?" ENTY:color
"What continent pushes up the Executive Committee mountain range ?" LOC:other
"What animals do you find in the stock market ?" ENTY:animal
"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' ." HUM:ind
"How many acres in a mile ?" NUM:count
"What is leukemia ?" DESC:def
"Who does the advertizing for Frito-Lay ?" HUM:ind
"What should the temperature be set at while baking Peachy Oat Muffins ?" NUM:temp
"What 's the sequel to Alice 's Adventures in Wonderland ?" ENTY:cremat
"Who wrote the poem that starts `` I love your lips when they 're wet with wine and red with a warm desire '' ?" HUM:ind
"What explorer was nicknamed Iberia 's Pilot ?" HUM:ind
"What was the occupation of Mandy Rice-Davies ?" HUM:title
"What is the claim to fame of Agra , India ?" DESC:reason
"Who is Desmond Tutu ?" HUM:desc
"What was the name of the computer in ` 2001 : A Space Odyssey ' ?" ENTY:product
"What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?" HUM:ind
"What were the causes of the Civil War ?" DESC:reason
"What Louisiana Senator won a seat that had been held by his father and mother ?" HUM:ind
"What year did Apartheid start ?" NUM:date
"What is a firewall ?" DESC:def
"How can you define time ?" DESC:def
"Where did Gulliver find a race of tiny people ?" LOC:other
"When reading classified ads , what does EENTY : other stand for ?" ABBR:exp
"What do you call a book of quotes ?" ENTY:termeq
"What does Nicholas Cage do for a living ?" HUM:title
"What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?" HUM:ind
"What is the predominant color of the Tab label ?" ENTY:color
"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?" DESC:reason
"What is home banking ?" DESC:def
"When did Muhammad live ?" NUM:date
"What 's an easy way to count the approximate number of fish in a lake ?" ENTY:techmeth
"How long is the Coney Island boardwalk ?" NUM:dist
"What is a golf ball made of ?" ENTY:substance
"What are binomial coefficients ?" DESC:def
"What 's the Fahrenheit equivalent of zero degrees centigrade ?" NUM:temp
"What new games are available for Nintendo 64 ?" ENTY:sport
"How many Grammys did Michael Jackson win in 1983 ?" NUM:count
"What appointments secretary to Richard Nixon went to jail ?" HUM:ind
"Where was George Washington born ?" LOC:other
"Who replaced Bert Parks as the host of The Miss America Pageant ?" HUM:ind
"What is a fear of thunder ?" ENTY:dismed
"What is software piracy ?" DESC:def
"How much money can a person be fined for having a dog on a beach ?" NUM:money
"What is `` Vocal Sampling '' ?" DESC:def
"How do you make dumplings ?" DESC:manner
"How do you use `` farther '' as opposed to `` further '' ?" DESC:manner
"What facial feature did Walt Disney sport that none of Disney 's employees is allowed to ?" DESC:desc
"When did Iraqi troops invade Kuwait ?" NUM:date
"What was the worst hurricane ?" ENTY:event
"What does BTU mean ?" ABBR:exp
"What is a hydrogen bond ?" DESC:def
"What does BUD stand for ?" ABBR:exp
"How do I love thee ?" DESC:manner
"Where is Rider College located ?" LOC:other
"Why do we ask for the `` check '' and not the bill at a restaurant ?" DESC:reason
"What 's the nearest star to Earth ?" LOC:other
"What is the origin of the word `` mind '' ?" DESC:desc
"What California desert is dubbed High Desert ?" LOC:other
"What is the population of Ohio ?" NUM:other
"Where is Burma ?" LOC:other
"What is carpal tunnel syndrome ?" DESC:def
"What did Abolitionists try to end ?" ENTY:other
"What color Poker chip is usually assigned the lowest value ?" ENTY:color
"What former royal palace has served as a granary , prison , arsenal , leper colony , mint , telegraph station and whorehouse before becoming an art museum ?" LOC:other
"What incident of 1933 did the German Nazis use to justify emergency decrees , imprisoning opponents and vesting more power in themselves ?" ENTY:event
"How many points make up a perfect fivepin bowling score ?" NUM:count
"What does idle mean ?" DESC:def
"What were the first three cities to have a population of more than a million ?" LOC:city
"What novel did Ian Fleming introduce James Bond in ?" ENTY:cremat
"What are chloroplasts ?" DESC:def
"Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?" HUM:ind
"What does a red flag mean in auto racing ?" DESC:def
"Rotary engine cars were made by what company ?" HUM:gr
"What TV game show once saw a contestant admit to picking his toes in the shower ?" ENTY:cremat
"What is the origin of the word trigonometry ?" DESC:desc
"What was called the world 's largest department store ?" HUM:gr
"Who has more DNA - a man or a woman ?" HUM:ind
"What is the origin of the rock band Led Zeppelin 's name ?" DESC:desc
"When did Fraze get his first patent for the pull-tab can ?" NUM:date
"What is office automation ?" DESC:def
"What was the claim to fame of the football game that saw Fordham defeat Waynesburg State 12601 on September 3 , 1939 ?" DESC:reason
"When is Bastille Day ?" NUM:date
"Who said : `` The victor will never be asked if he told the truth '' ?" HUM:ind
"What is the web address at which I can find the e-mail address of a member of the US House of Representatives ?" LOC:other
"What month of the year is there no television in Iceland ?" NUM:date
"How does a bill become law ?" DESC:manner
"How far is London UK from California ?" NUM:dist
"What do goldfish lose if kept in dimly-lit or running water ?" ENTY:other
"What will a kid eat the middle of , and save the chocolate on the outside for last ?" ENTY:food
"In what city is the famed St. Mark 's Square ?" LOC:city
"How many innings are there in a regulation softball game ?" NUM:count
"Who died with more than 1 , 000 U.S. patents to his credit ?" HUM:ind
"What kind of education would you need to become an athletic trainer for the NFL ?" ENTY:other
"What organization is the Security Council a part of ?" HUM:gr
"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?" ENTY:other
"When was the first stained glass window made ?" NUM:date
"Where did Hillary Clinton graduate college ?" LOC:other
"Which team won the Super Bowl in 1968 ?" HUM:gr
"Independent silversmith 's account for what percentage of silver production ?" NUM:perc
"What 's the maximum number of clubs a golfer may use in a round ?" NUM:count
"How many quarts of whole milk is needed to make one pound of butter ?" NUM:count
"When did swimming become commonplace ?" NUM:date
"What is the name of the inventor of silly putty ?" HUM:ind
"What are hook worms ?" DESC:def
"In what nation is Edessa located nowadays ?" LOC:country
"What color of Monopoly properties are landed on most often ?" ENTY:color
"What animal 's tail is called a brush ?" ENTY:animal
